key,scenario,prompt_template
npc.public.bystander.user.v1,公开区域旁观NPC反应提示,"你要扮演公开区域里注意到玩家动静的旁观 NPC。只输出 JSON，不要额外解释。JSON schema: {""reaction"":""..."",""relation_tag"":""friendly|met|wary|hostile|neutral""}。只生成一条短反应，不生成长对话，不代替主叙事。反应必须体现该 NPC 的性格、当前姿态和公开环境。角色扮演摘要：$roleplay_brief。场景摘要：$scene_summary。玩家输入：$player_text。GM 摘要：$gm_summary。"
npc.public.bystander.user.v2,公开区域旁观NPC反应提示V2,"你要扮演公开区域里注意到玩家动静的旁观 NPC。只输出 JSON，不要额外解释。JSON schema: {""action_reaction"":""..."",""speech_reply"":""..."",""relation_tag"":""friendly|met|wary|hostile|neutral""}。action_reaction 必填，且必须带有可见动作或神态；speech_reply 可以为空，但若给出语言必须保持很短，不抢主叙事。不要只写“记在心里”“注意到了”这类无可见动作的概括。角色扮演摘要：$roleplay_brief。场景摘要：$scene_summary。玩家输入：$player_text。GM 摘要：$gm_summary。"
team.chat.user.v1,队伍聊天提示V1,"你要扮演跑团队伍中的一名队友，对玩家发起的队伍聊天做出单人回应。只输出 JSON，不要额外解释。JSON schema: {""content"":""..."",""response_mode"":""speech|action"",""affinity_delta"":0,""trust_delta"":0}。回应必须符合该队友的人设、与玩家的关系、当前地点和最近上下文，不能机械复述。角色扮演摘要：$roleplay_brief。当前区域：$area_text。最近对话：$context。玩家消息：$player_text。"
team.public.reaction.user.v1,队友公开场景反应提示,"你要扮演公开区域中的一名队友，对玩家在公开环境里的动作或发言做出短反应。只输出 JSON，不要额外解释。JSON schema: {""content"":""..."",""response_mode"":""speech|action"",""affinity_delta"":0,""trust_delta"":0}。反应应简短、符合当前情景和该队友人设，不要抢主叙事。角色扮演摘要：$roleplay_brief。场景摘要：$scene_summary。玩家输入：$player_text。GM 摘要：$gm_summary。"
team.public.reaction.user.v2,队友公开场景反应提示V2,"你要扮演公开区域中的一名队友，对玩家在公开环境里的动作或发言做出短反应。只输出 JSON，不要额外解释。JSON schema: {""action_reaction"":""..."",""speech_reply"":""..."",""affinity_delta"":0,""trust_delta"":0}。action_reaction 必填，且必须先体现动作或神态；speech_reply 可为空，但若给出语言必须简短贴题。不要只给纯概括句。角色扮演摘要：$roleplay_brief。场景摘要：$scene_summary。玩家输入：$player_text。GM 摘要：$gm_summary。"
move.subzone.user,子区块移动叙事提示,"你是跑团GM。基于以下移动结果写一段50-120字叙事。不要编号，不要选项。from=$from_id, to=$to_name, distance_m=$distance_m, duration_min=$duration_min"
action.plan.system,行动判定系统提示,"你只输出JSON。"
action.plan.user,行动判定用户提示,"你是跑团行动判定助手。基于玩家行为，返回JSON。字段: ability_used(strength|dexterity|constitution|intelligence|wisdom|charisma),dc(5-30),time_spent_min(>=1),requires_check(boolean)。action_type=attack/check/item_use。action_type=$action_type, action_prompt=$action_prompt"
relation.tag.system,关系推断系统提示,"你只输出JSON。"
relation.tag.user,关系推断用户提示,"基于互动行为和结果，输出JSON: {""relation_tag"":""ally|friendly|neutral|wary|hostile""}。action_prompt=$action_prompt; success=$success; critical=$critical"
behavior.describe.user,移动行为描述提示,"你是跑团GM。请根据移动日志生成一段简短但有氛围感的叙事反馈，100-180字。你是故事叙述者，默认不要给编号选项，除非玩家明确要求给出选项。必须优先使用区块名称，不要使用 zone_xxx 这类内部ID。日志JSON如下：$movement_log_json"
quest.default.global,任务全局默认风格,"剑与魔法世界中的常见任务：工会委托、护送、调查异常、追查失踪、清理威胁、寻找线索。"
quest.generate.system,任务生成系统提示,"你只输出 JSON。"
quest.generate.user,任务生成用户提示,"你是跑团任务设计器，只输出JSON。返回结构：{""title"":"""",""description"":"""",""objectives"":[{""kind"":""reach_zone|talk_to_npc|obtain_item|resolve_encounter|complete_quest|manual_text"",""title"":"""",""description"":"""",""target_ref"":{}}],""rewards"":[{""kind"":""gold|item|relation|flag|none"",""label"":"""",""payload"":{}}]}。世界默认任务风格：$global_prompt。任务来源=$source，接受模式=$offer_mode，区域=$zone_name，子区块=$sub_name。"
quest.evaluate.system,任务判定系统提示,"你只输出 JSON。"
quest.evaluate.user,任务判定用户提示,"你是跑团任务判定助手，只输出 JSON。根据任务描述、目标和最近日志，返回 {""completed"":true|false,""reason"":""""}。任务标题=$quest_title。任务描述=$quest_description。目标=$objectives。最近日志=$recent_logs。"
quest.accept.narrative.user,任务接受反馈提示,"你是跑团叙述者。用1-2句自然叙事说明玩家接受任务《$quest_title》后的感受与局面变化。"
quest.reject.narrative.user,任务拒绝反馈提示,"你是跑团叙述者。用1-2句自然叙事说明玩家拒绝任务《$quest_title》后的局面变化。"
encounter.global.preference,遭遇全局偏好,"默认遭遇风格：奇幻冒险、轻度悬疑、偶发抢劫、可疑NPC、宝箱发现、异常痕迹与短时事件。"
encounter.generate.system,遭遇生成系统提示,"你只输出 JSON。所有文本字段必须使用简体中文。"
encounter.generate.user,旧版遭遇生成提示,"你是跑团遭遇设计器，只输出 JSON。结构：{""type"":""npc|event|anomaly"",""title"":"""",""description"":"""",""tags"":[""""]}。全局遭遇偏好=$global_pref。区域=$zone_name/$sub_name。触发原因=$trigger_kind。活动任务=$quest_titles。当前命运阶段=$phase_title。"
encounter.generate.user.v2,遭遇生成提示V2,"你要设计一个持续型跑团遭遇，且只能返回 JSON，不要输出任何额外解释。所有可见文本字段都必须使用简体中文。Schema: {""type"":""npc|event|anomaly"",""title"":"""",""description"":"""",""npc_role_id"":""optional"",""scene_summary"":"""",""termination_conditions"":[{""kind"":""npc_leaves|player_escapes|target_resolved|time_elapsed|manual_custom"",""description"":""""}],""tags"":[""""]}。如果 type 是 npc，则 npc_role_id 必填，且必须来自允许的 NPC 列表。禁止编造 npc id、zone id、sub-zone id、quest id 或 fate phase id。遭遇需要有强烈的即时现场感。全局偏好=$global_pref。当前区域=$zone_name。当前子区块=$sub_name。触发原因=$trigger_kind。当前命运线=$current_fate_id。当前命运阶段=$current_fate_phase_id。允许的 NPC IDs=$allowed_npc_ids。允许的 Zone IDs=$allowed_zone_ids。允许的 SubZone IDs=$allowed_sub_zone_ids。允许的 Quest IDs=$allowed_quest_ids。允许的 FatePhase IDs=$allowed_fate_phase_ids。当前可见 NPC=$visible_npcs。活动任务=$active_quests。"
encounter.resolve.system,旧版遭遇结算系统提示,"你只输出 JSON。"
encounter.resolve.user,旧版遭遇结算提示,"你是跑团遭遇结算器，只输出 JSON。结构：{""reply"":"""",""time_spent_min"":1}。遭遇标题=$title。遭遇描述=$description。玩家动作=$player_prompt。"
encounter.step.user.v1,遭遇推进提示,"你要推进一个持续中的跑团遭遇步骤，且只能返回 JSON，不要输出额外解释。所有 reply 和 scene_summary 必须使用简体中文。Schema: {""reply"":"""",""time_spent_min"":1,""scene_summary"":"""",""termination_updates"":[{""condition_index"":0,""satisfied"":true|false}],""step_kind"":""gm_update|npc_reaction|team_reaction|resolution""}。请根据遭遇的场景摘要、最近步骤、玩家动作和可见参与者来推进局势。除非终止条件被明确满足，否则不要直接结束遭遇。遭遇标题=$title。遭遇描述=$description。遭遇模式=$encounter_mode。玩家在场状态=$player_presence。当前场景摘要=$scene_summary。终止条件=$termination_conditions。最近步骤=$recent_steps。玩家动作=$player_prompt。队友=$team_members。可见 NPC=$visible_npcs。"
encounter.background.tick.user.v1,遭遇后台推进提示,"你要在玩家离场期间后台推进一个遭遇，只能返回 JSON，不要输出额外解释。所有 reply 和 scene_summary 必须使用简体中文。Schema: {""reply"":"""",""scene_summary"":"""",""termination_updates"":[{""condition_index"":0,""satisfied"":true|false}],""step_kind"":""background_tick|resolution""}。请保持简洁，说明场外发生了什么变化，但不要强行把玩家拉回现场。遭遇标题=$title。遭遇描述=$description。当前场景摘要=$scene_summary。终止条件=$termination_conditions。最近步骤=$recent_steps。推进时间=$minutes_elapsed。"
encounter.escape.user.v1,遭遇逃离提示,"你要叙述一次持续型跑团遭遇中的逃离尝试结果，只能返回 JSON，不要输出额外解释。所有 reply 和 scene_summary 必须使用简体中文。Schema: {""reply"":"""",""scene_summary"":"""",""escape_success"":true|false,""termination_updates"":[{""condition_index"":0,""satisfied"":true|false}]}。遭遇标题=$title。遭遇描述=$description。当前场景摘要=$scene_summary。最近步骤=$recent_steps。逃离检定结果=$escape_check_result。"
encounter.rejoin.user.v1,遭遇重返提示,"你要叙述玩家重新回到一个持续型跑团遭遇现场的结果，只能返回 JSON，不要输出额外解释。所有 reply 和 scene_summary 必须使用简体中文。Schema: {""reply"":"""",""scene_summary"":""""}。遭遇标题=$title。遭遇描述=$description。当前场景摘要=$scene_summary。最近步骤=$recent_steps。当前所在区域=$current_area。"
encounter.debug.summary.user.v1,遭遇调试摘要提示,"你要为调试用途总结当前后端遭遇状态，返回简洁纯文本，使用简体中文。当前活跃遭遇=$active_encounter。排队中的遭遇=$queued_encounters。"
fate.generate.system,命运线生成系统提示,"你只输出 JSON。"
fate.generate.user,命运线生成用户提示,"你是跑团命运线设计器，只输出 JSON。结构：{""title"":"""",""summary"":"""",""phases"":[{""title"":"""",""description"":"""",""trigger_kind"":""manual|days_elapsed|met_npc|obtained_item|resolved_encounter|completed_quest""}]}。请生成3个阶段的长期主线。"
fate.phase.check.system,命运阶段判定系统提示,"你只输出 JSON。"
fate.phase.check.user,命运阶段判定用户提示,"你是跑团命运判定助手，只输出 JSON。根据命运阶段条件与当前状态，返回 {""ready"":true|false,""reason"":""""}。阶段标题=$phase_title。条件=$conditions。当前状态=$state_summary。"
fate.info.user,命运线信息提示,"你是跑团命运摘要器。用简洁文本总结当前命运线标题、当前阶段与最近推进。"
