tool_name,source_chain,current_main_chat_access,tool_kind,read_write,required_args,optional_args,side_effect_scope,chinese_note,source_of_truth
generate_zone,legacy_only,compat_only,map_action,read_write,world_prompt,count,map,生成 1 到 3 个新区块并写入当前存档；当前仅旧工具链兼容保留。,backend/app/services/chat_service.py:_tools_schema | backend/app/services/chat_service.py:_handle_tool_call
move_to_sub_zone,legacy_only,compat_only,map_action,read_write,to_sub_zone_id,,map,移动到目标子区块并推进区域时钟；当前仅旧工具链兼容保留。,backend/app/services/chat_service.py:_tools_schema | backend/app/services/chat_service.py:_handle_tool_call
move_to_zone,legacy_only,compat_only,map_action,read_write,,to_zone_id|to_zone_name,map,移动到目标大区块；当前仅旧工具链兼容保留。,backend/app/services/chat_service.py:_tools_schema | backend/app/services/chat_service.py:_handle_tool_call
team_chat,legacy_only,compat_only,team_action,read_write,player_message,,team,向当前队伍发送一条消息并收集队友回应；当前仅旧工具链兼容保留。,backend/app/services/chat_service.py:_tools_schema | backend/app/services/chat_service.py:_handle_tool_call
team_invite_npc,legacy_only,compat_only,team_action,read_write,npc_role_id,player_prompt,team,邀请 NPC 入队并改写队伍状态；当前仅旧工具链兼容保留。,backend/app/services/chat_service.py:_tools_schema | backend/app/services/chat_service.py:_handle_tool_call
team_remove_npc,legacy_only,compat_only,team_action,read_write,npc_role_id,reason,team,让 NPC 离队并更新队伍状态；当前仅旧工具链兼容保留。,backend/app/services/chat_service.py:_tools_schema | backend/app/services/chat_service.py:_handle_tool_call
encounter_act,legacy_only,compat_only,encounter_action,read_write,encounter_id|player_prompt,,encounter,推进当前遭遇一步玩家行动；当前仅旧工具链兼容保留。,backend/app/services/chat_service.py:_tools_schema | backend/app/services/chat_service.py:_handle_tool_call
encounter_escape,legacy_only,compat_only,encounter_action,read_write,encounter_id,,encounter,尝试从当前活跃遭遇中脱离；当前仅旧工具链兼容保留。,backend/app/services/chat_service.py:_tools_schema | backend/app/services/chat_service.py:_handle_tool_call
encounter_rejoin,legacy_only,compat_only,encounter_action,read_write,encounter_id,,encounter,在返回原区域后重新加入已脱离的遭遇；当前仅旧工具链兼容保留。,backend/app/services/chat_service.py:_tools_schema | backend/app/services/chat_service.py:_handle_tool_call
quest_evaluate,legacy_only,compat_only,quest_action,read_write,quest_id,,quest,按当前世界状态重新评估单个任务；当前仅旧工具链兼容保留。,backend/app/services/chat_service.py:_tools_schema | backend/app/services/chat_service.py:_handle_tool_call
quest_track,legacy_only,compat_only,quest_action,write,quest_id,,quest,设置当前追踪任务；当前仅旧工具链兼容保留。,backend/app/services/chat_service.py:_tools_schema | backend/app/services/chat_service.py:_handle_tool_call
inventory_interact,legacy_only,compat_only,inventory_action,read_write,owner_type|item_id|mode,role_id|prompt,save,检查或使用玩家或角色背包物品；当前仅旧工具链兼容保留。,backend/app/services/chat_service.py:_tools_schema | backend/app/services/chat_service.py:_handle_tool_call
inventory_mutate,legacy_only,compat_only,inventory_action,read_write,owner_type|mode|slot,role_id|item_id,save,装备或卸下玩家或角色物品；当前仅旧工具链兼容保留。,backend/app/services/chat_service.py:_tools_schema | backend/app/services/chat_service.py:_handle_tool_call
player_add_item,legacy_only,compat_only,inventory_action,write,item_id|name,item_type|quantity|slot_type|attack_bonus|armor_bonus,player,向玩家背包添加一件物品；当前仅旧工具链兼容保留。,backend/app/services/chat_service.py:_tools_schema | backend/app/services/chat_service.py:_handle_tool_call
player_equip_item,legacy_only,compat_only,inventory_action,read_write,slot,item_id|mode,player,装备或卸下玩家武器/护甲槽位；当前仅旧工具链兼容保留。,backend/app/services/chat_service.py:_tools_schema | backend/app/services/chat_service.py:_handle_tool_call
player_adjust_resource,legacy_only,compat_only,player_action,write,kind,mode|level|amount,player,消耗或恢复法术位/体力资源；当前仅旧工具链兼容保留。,backend/app/services/chat_service.py:_tools_schema | backend/app/services/chat_service.py:_handle_tool_call
player_apply_buff,legacy_only,compat_only,player_action,write,buff_id,mode|name|duration_min|strength_delta|dexterity_delta|constitution_delta|intelligence_delta|wisdom_delta|charisma_delta|ac_delta|dc_delta,player,给玩家添加或移除临时增益效果；当前仅旧工具链兼容保留。,backend/app/services/chat_service.py:_tools_schema | backend/app/services/chat_service.py:_handle_tool_call
player_set_trait,legacy_only,compat_only,player_action,write,kind|value,mode,player,给玩家添加或移除技能/法术条目；当前仅旧工具链兼容保留。,backend/app/services/chat_service.py:_tools_schema | backend/app/services/chat_service.py:_handle_tool_call
role_set_relation,legacy_only,compat_only,player_action,write,role_id|target_role_id|relation_tag,note,save,修改一个角色对另一角色的关系标签；当前仅旧工具链兼容保留。,backend/app/services/chat_service.py:_tools_schema | backend/app/services/chat_service.py:_handle_tool_call
run_consistency_check,legacy_only,compat_only,consistency_debug,read_write,,,save,执行一次一致性修复并可能改写当前存档；当前仅旧工具链兼容保留。,backend/app/services/chat_service.py:_tools_schema | backend/app/services/chat_service.py:_handle_tool_call
team_generate_debug_member,legacy_only,compat_only,consistency_debug,write,prompt,,team,生成调试队友并直接加入当前队伍；当前仅旧工具链兼容保留。,backend/app/services/chat_service.py:_tools_schema | backend/app/services/chat_service.py:_handle_tool_call
